title,type,address,assignee,annote,author,booktitle,chapter,day,dayfiled,edition,editor,howpublished,institution,journal,language,month,monthfiled,nationality,note,number,organization,pages,publisher,revision,school,series,rtitle, ,volume,year,yearfiled,url,custom1,custom2,custom3,custom4,custom5,isbn
Regli2010,7,,,,"Regli, William C. and Kopena, Joseph B. and Grauer, Michael and Simpson, Timothy W. and Stone, Robert B. and Lewis, Kemper and Bohm, Matt R. and Wilkie, David and Piecyk, Martin and Osecki, Jordan",,,,,,,,,{AI} Magazine,,,,,,1,,37--50,,,,,Semantics for digital engineering archives supporting engineering design education,,31,2010,,http://www.aaai.org/ojs/index.php/aimagazine/article/viewArticle/2282,bibtex,,,,,
Rowan2016,7,,,,"Rowan, Kyle Edward",,,,,,,,,,,,,,,,,,,,,,Not Quite a Sunset: a hypertext opera,,,2016,,http://escholarship.org/uc/item/9830g5pn.pdf,bibtex,,,,,
Ruston2004a,1,,,,"Ruston, Jeremy",,,,,,,,,,,,,,,,,,,,,,TiddlyWiki,,,2004,,,bibtex,,,,,
Rutherford2009,10,,,,"Rutherford, Jayne",,,,,,,,"University of Leeds, School of Computer Studies",,,,,,,,,,,,"University of Leeds, School of Computer Studies",,Graphical Input for TiddlyWiki,,,2009,,,bibtex,,,,,
Rutherford2009a,10,,,,"Rutherford, Jayne",,,,,,,,"University of Leeds, School of Computer Studies",,,,,,,,,,,,"University of Leeds, School of Computer Studies",,Graphical Input for TiddlyWiki,,,2009,,,bibtex,,,,,
Rutherford2009b,10,,,,"Rutherford, Jayne",,,,,,,,"University of Leeds, School of Computer Studies",,,,,,,,,,,,"University of Leeds, School of Computer Studies",,Graphical Input for TiddlyWiki,,,2009,,,bibtex,,,,,
Sauer2005,7,,,,"Sauer, Igor M. and Bialek, Dominik and Efimova, Ekaterina and Schwartlander, Ruth and Pless, Gesine and Neuhaus, Peter",,,,,,,,,Artificial organs,,,,,,1,,82--83,,,,,“Blogs” and “wikis” are valuable software tools for communication within research groups,,29,2005,,http://onlinelibrary.wiley.com/doi/10.1111/j.1525-1594.2004.29005.x/full,bibtex,,,,,
Sauer2005a,7,,,,"Sauer, Igor M. and Bialek, Dominik and Efimova, Ekaterina and Schwartlander, Ruth and Pless, Gesine and Neuhaus, Peter",,,,,,,,,Artificial organs,,,,,,1,,82--83,,,,,“Blogs” and “wikis” are valuable software tools for communication within research groups,,29,2005,,http://onlinelibrary.wiley.com/doi/10.1111/j.1525-1594.2004.29005.x/full,bibtex,,,,,
Schaffert2006,6,,,,"Schaffert, Sebastian",15th {IEEE} International Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises ({WETICE}'06),,,,,,,,,,,,,,,,388--396,{IEEE},,,,IkeWiki: A semantic wiki for collaborative knowledge management,,,2006,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4092241,bibtex,,,,,
Schaffert2006a,6,,,,"Schaffert, Sebastian",15th {IEEE} International Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises ({WETICE}'06),,,,,,,,,,,,,,,,388--396,{IEEE},,,,IkeWiki: A semantic wiki for collaborative knowledge management,,,2006,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4092241,bibtex,,,,,
Sciadas2005,7,,,,"Sciadas, George",,,,,,,,,,,,,,,,,,,,,,From the digital divide to digital opportunities,,,2005,,http://ictlogy.net/bibliography/reports/projects.php?idp=239,bibtex,,,,,
Shang2016,7,,,,"Shang, Hui-Fang",,,,,,,,,Educational Technology \& Society,,,,,,3,,321--334,,,,,"Online metacognitive strategies, hypermedia annotations, and motivation on hypertext comprehension",,19,2016,,http://www.jstor.org/stable/pdf/jeductechsoci.19.3.321.pdf,bibtex,,,,,
Shang2016a,7,,,,"Shang, Hui-Fang",,,,,,,,,Behaviour \& Information Technology,,,,,,7,,559--571,,,,,Exploring demographic and motivational factors associated with hypertext reading by English as a foreign language (EFL) students,,35,2016,,http://www.tandfonline.com/doi/abs/10.1080/0144929X.2015.1094827,bibtex,,,,,
Skiba2005,7,,,,"Skiba, Diane J.",,,,,,,,,Nursing education perspectives,,,,,,2,,120,,,,,Do your students wiki?,,26,2005,,http://search.proquest.com/openview/460686aff56fe55ba2bc3cd9a3fc27aa/1?pq-origsite=gscholar,bibtex,,,,,
Skiba2005a,7,,,,"Skiba, Diane J.",,,,,,,,,Nursing education perspectives,,,,,,2,,120,,,,,Do your students wiki?,,26,2005,,http://search.proquest.com/openview/460686aff56fe55ba2bc3cd9a3fc27aa/1?pq-origsite=gscholar,bibtex,,,,,
Solis2010,6,,,,"Solis, Carlos and Ali, Nour",2010 5th {IEEE} International Conference on Global Software Engineering,,,,,,,,,,,,,,,,237--246,{IEEE},,,,Distributed requirements elicitation using a spatial hypertext wiki,,,2010,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5581514,bibtex,,,,,
Solis2010a,6,,,,"Solis, Carlos and Ali, Nour","Collaborative Technologies and Systems ({CTS}), 2010 International Symposium on",,,,,,,,,,,,,,,,225--234,{IEEE},,,,A spatial hypertext wiki for knowledge management,,,2010,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5478505,bibtex,,,,,
Solis2010b,6,,,,"Solis, Carlos and Ali, Nour",2010 5th {IEEE} International Conference on Global Software Engineering,,,,,,,,,,,,,,,,237--246,{IEEE},,,,Distributed requirements elicitation using a spatial hypertext wiki,,,2010,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5581514,bibtex,,,,,
Solis2010c,6,,,,"Solis, Carlos and Ali, Nour","Collaborative Technologies and Systems ({CTS}), 2010 International Symposium on",,,,,,,,,,,,,,,,225--234,{IEEE},,,,A spatial hypertext wiki for knowledge management,,,2010,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5478505,bibtex,,,,,
Solis2011,6,,,,"Solis, Carlos and Ali, Nour",Proceedings of the 22nd {ACM} conference on Hypertext and hypermedia,,,,,,,,,,,,,,,,133--142,{ACM},,,,An experience using a spatial hypertext Wiki,,,2011,,http://dl.acm.org/citation.cfm?id=1995986,bibtex,,,,,
Solis2011a,7,,,,"Solis, Carlos and Ali, Nour",,,,,,,,,J. {UCS},,,,,,7,,1043--1059,,,,,A Semantic Wiki Based on Spatial Hypertext.,,17,2011,,http://jucs.org/jucs_17_7/a_semantic_wiki_based/jucs_17_07_1043_1059_solis.pdf,bibtex,,,,,
Solis2011b,6,,,,"Solis, Carlos and Ali, Nour",Proceedings of the 22nd {ACM} conference on Hypertext and hypermedia,,,,,,,,,,,,,,,,133--142,{ACM},,,,An experience using a spatial hypertext Wiki,,,2011,,http://dl.acm.org/citation.cfm?id=1995986,bibtex,,,,,
Solis2011c,7,,,,"Solis, Carlos and Ali, Nour",,,,,,,,,J. {UCS},,,,,,7,,1043--1059,,,,,A Semantic Wiki Based on Spatial Hypertext.,,17,2011,,http://jucs.org/jucs_17_7/a_semantic_wiki_based/jucs_17_07_1043_1059_solis.pdf,bibtex,,,,,
Solis2008,6,,,,"Solís, Carlos and Ali, Nour",Proceedings of the 4th International Symposium on Wikis,,,,,,,,,,,,,,,,10,{ACM},,,,ShyWiki-a spatial hypertext wiki,,,2008,,http://dl.acm.org/citation.cfm?id=1822272,bibtex,,,,,
Solis2008a,6,,,,"Solís, Carlos and Ali, Nour",Proceedings of the 4th International Symposium on Wikis,,,,,,,,,,,,,,,,10,{ACM},,,,ShyWiki-a spatial hypertext wiki,,,2008,,http://dl.acm.org/citation.cfm?id=1822272,bibtex,,,,,
Solis2009,6,,,,"Solís, Carlos and Ali, Nour and Babar, Muhammad Ali","Wikis for Software Engineering, 2009. {WIKIS}4SE'09. {ICSE} Workshop on",,,,,,,,,,,,,,,,36--46,{IEEE},,,,A spatial hypertext wiki for architectural knowledge management,,,2009,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5069995,bibtex,,,,,
Stoyanova2015,6,"New York, {NY}, {USA}",,,"Stoyanova, Silvia and Johnston, Ben",Proceedings of the Third {AIUCD} Annual Conference on Humanities and Their Methods in the Digital Ecosystem,,,,,,,,,,,,,,,,9:1--9:8,{ACM},,,{AIUCD} '14,Remediating Giacomo Leopardi's Zibaldone: Hypertextual Semantic Networks in the Scholarly Archive,,,2015,,http://doi.acm.org/10.1145/2802612.2802634,bibtex,,,,,978-1-4503-3295-8
Suresh2016a,7,,,,"Suresh, Mayur",,,,,,,,,"Law, Memory, Violence: Uncovering the Counter-Archive",,,,,,,,97,,,,,The file as hypertext,,,2016,,https://books.google.com/books?hl=en&lr=&id=TmmaCwAAQBAJ&oi=fnd&pg=PA97&dq=hypertext&ots=nzLjpgq0h2&sig=jzOnpGgDes0pcu_Cx0P9zYU4Kxs,bibtex,,,,,
TREnTIn2009,7,,,,"{TREnTIn}, Guglielmo",,,,,,,,,Journal of computer assisted learning,,,,,,1,,43--55,,,,,Using a wiki to evaluate individual contribution to a collaborative learning project,,25,2009,,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2729.2008.00276.x/full,bibtex,,,,,
TREnTIn2009a,7,,,,"{TREnTIn}, Guglielmo",,,,,,,,,Journal of computer assisted learning,,,,,,1,,43--55,,,,,Using a wiki to evaluate individual contribution to a collaborative learning project,,25,2009,,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2729.2008.00276.x/full,bibtex,,,,,
TRUNG,7,,,,"{TRUNG}, {DANG} {DINH}",,,,,,,,,,,,,,,,,,,,,,TiddlyWiki client and server modification for scholarly digital libraries,,,,,http://wing.comp.nus.edu.sg/publications/theses/2008/dangDinhTrungDang_HYP.pdf,bibtex,,,,,
Unit2010,7,,,,"Unit, Economist Intelligence",,,,,,,,,,,,,,,,,,,,,,Democracy index 2010,,,2010,,http://ictlogy.net/bibliography/reports/projects.php?idp=1853,bibtex,,,,,
Varfolomeyev2012,7,,,,"Varfolomeyev, Aleksey and Ivanovs, Aleksandrs",,,,,,,,,Digital Humanities,,,,,,,,405--407,,,,,Wiki Technologies for Semantic Publication of Old Russian Charters,,,2012,,http://www.dh2012.uni-hamburg.de/conference/programme/abstracts/wiki-technologies-for-semantic-publication-of-old-russian-charters.1.html,bibtex,,,,,
Wagner2004,7,,,,"Wagner, Christian",,,,,,,,,The Communications of the Association for Information Systems,,,,,,1,,58,,,,,Wiki: A technology for conversational knowledge management and group collaboration,,13,2004,,http://aisel.aisnet.org/cgi/viewcontent.cgi?article=3238&context=cais,bibtex,,,,,
Web2000,1,,,,"Web, Wiki and {DE}, {WIKIPEDI} and {JPG}, {WIKI}",,,,,,,,,,,,,,,,,,,,,,Wiki Web,,,2000,,,bibtex,,,,,
Wiki1996,7,,,,"Wiki, {ASIS}{\textbackslash}\&T-{ESC}",,,,,,,,,,,,,,,,,,,,,,Information literacy,,,1996,,https://www.asis.org/Chapters/Student/esc/?tag=information-literacy,bibtex,,,,,
Wilson2007,1,,,,"Wilson, T. D.",,,,,,,,,,,,,,,3,,,"{UNIV} {SHEFFIELD} {DEPT} {INFORMATION} {STUDIES} {UNIV} {SHEFFIELD}, {WESTERN} {BANK}, {SHEFFIELD} S10 2TN, S {YORKS}, {ENGLAND}",,,,TiddlyWiki 2.1. 3.,,12,2007,,,bibtex,,,,,
Wilson2007a,7,,,,"Wilson, Tom D.",,,,,,,,,Information research,,,,,,3,,review--no,,,,,"Review of: TiddlyWiki 2.1. 3. Osmosoft. com, 2007",,12,2007,,http://www.diva-portal.org/smash/record.jsf?pid=diva2:870314,bibtex,,,,,
Wilson2007b,1,,,,"Wilson, T. D.",,,,,,,,,,,,,,,3,,,"{UNIV} {SHEFFIELD} {DEPT} {INFORMATION} {STUDIES} {UNIV} {SHEFFIELD}, {WESTERN} {BANK}, {SHEFFIELD} S10 2TN, S {YORKS}, {ENGLAND}",,,,TiddlyWiki 2.1. 3.,,12,2007,,,bibtex,,,,,
Wilson2007c,7,,,,"Wilson, Tom D.",,,,,,,,,Information research,,,,,,3,,review--no,,,,,"Review of: TiddlyWiki 2.1. 3. Osmosoft. com, 2007",,12,2007,,http://www.diva-portal.org/smash/record.jsf?pid=diva2:870314,bibtex,,,,,
Wilson2007d,1,,,,"Wilson, T. D.",,,,,,,,,,,,,,,3,,,"{UNIV} {SHEFFIELD} {DEPT} {INFORMATION} {STUDIES} {UNIV} {SHEFFIELD}, {WESTERN} {BANK}, {SHEFFIELD} S10 2TN, S {YORKS}, {ENGLAND}",,,,TiddlyWiki 2.1. 3.,,12,2007,,,bibtex,,,,,
Wilson2007e,7,,,,"Wilson, Tom D.",,,,,,,,,Information research,,,,,,3,,review--no,,,,,"Review of: TiddlyWiki 2.1. 3. Osmosoft. com, 2007",,12,2007,,http://www.diva-portal.org/smash/record.jsf?pid=diva2:870314,bibtex,,,,,
Yang2008,6,,,,"Yang, Chia-Han and Wu, Ming-Ying and Lin, Chien-Min and Yang, Don-Lin",2008 Eighth International Conference on Intelligent Systems Design and Applications,,,,,,,,,,,,,,,,346--349,{IEEE},,,,Implementation of Wiki-based knowledge management systems for small research groups,,2,2008,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4696356,bibtex,,,,,
Yang2008a,6,,,,"Yang, Chia-Han and Wu, Ming-Ying and Lin, Chien-Min and Yang, Don-Lin",2008 Eighth International Conference on Intelligent Systems Design and Applications,,,,,,,,,,,,,,,,346--349,{IEEE},,,,Implementation of Wiki-based knowledge management systems for small research groups,,2,2008,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4696356,bibtex,,,,,
Yang2008b,6,,,,"Yang, Chia-Han and Wu, Ming-Ying and Lin, Chien-Min and Yang, Don-Lin",2008 Eighth International Conference on Intelligent Systems Design and Applications,,,,,,,,,,,,,,,,346--349,{IEEE},,,,Implementation of Wiki-based knowledge management systems for small research groups,,2,2008,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4696356,bibtex,,,,,
Zhang2006,6,,,,"Zhang, Yuejiao",Proceedings of the seventeenth conference on Hypertext and hypermedia,,,,,,,,,,,,,,,,23--26,{ACM},,,,Wiki means more: hyperreading in Wikipedia,,,2006,,http://dl.acm.org/citation.cfm?id=1149946,bibtex,,,,,
Zhang2006a,6,,,,"Zhang, Yuejiao",Proceedings of the seventeenth conference on Hypertext and hypermedia,,,,,,,,,,,,,,,,23--26,{ACM},,,,Wiki means more: hyperreading in Wikipedia,,,2006,,http://dl.acm.org/citation.cfm?id=1149946,bibtex,,,,,
